Fund ID,Fund,Results Area ID,Results Area,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015
2,Other Fund,2,Public Safety ,New Orleans Municipal Court,Municipal Court,http://www.nola.gov/municipal-court/,,Municipal Court,1853519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23084,58374
2,Other Fund,1,Open and Effective Government,Traffic Court,Traffic Court,http://www.nola.gov/traffic-court/,,Traffic Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish Criminal District Court,Criminal Court,http://www.criminalcourt.org/,,Criminal Court,4176426,3197756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Orleans Parish Sheriff's Office,Sheriff,http://www.opcso.org/,,Sheriff,1231440,347101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Clerk of Criminal District Court,Clerk of Criminal Court,http://www.criminalcourt.org/court/clerk.aspx,,Clerk of Criminal District Court,0,1287673,"$1,457,655",0,0,0,0,0,0,0,0,0,1362759,1008269,0,0,0,0,0,0,0
2,Other Fund,1,Open and Effective Government,Registrar of Voters,Registrar,http://www.nola.gov/registrar/,,Registrar,0,0,0,0,0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,1,Open and Effective Government,Judicial Retirement,Judicial Retirement,,,Parish Wide Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,NOAB Revolving Fund,NO Aviation Board,http://www.nola.gov/boards/new-orleans-aviation-board/,"The New Orleans Aviation Board represents the City in all aviation matters in consultation with state, national, and international government agencies. It is an unattached board under the executive branch of the New Orleans City Government.
",Independent Board,59999954,66790224,"$69,222,688","$69,222,688",70759811,"$66,990,177","$66,990,177","$74,974,783","$73,524,500","$74,183,005","$75,663,200","$79,710,494",44886177,58096656,43444054,41376853,38966674,38319717,"$42,301,937","$38,492,755","$39,278,130"
2,Other Fund,7,Enterprise Funds,Delgado Albania Revolving Fund,Delgado-Albania,http://www.nola.gov/boards/delgado-albania-plantation-commission/,"The Delgado Albania Plantation Commission provides for the administration, operation and maintenance of the Delgado Albania Plantation, has authority, with the approval of the City Council, to borrow money to produce crops, and mortgage and pledge as security thereof, the crops and chattels of said plantation, and transmits annually to the Board of City Trusts for the account of the Delgado Community College and its successor such portion of the income of the plantation as may be fixed by the City Council.",Independent Board,3700,3700,"$37,000","$37,000",37000,"$37,000","$37,000","$37,000","$37,000","$37,000","$37,000","$37,000",7500,12500,10000,10000,10000,5000,0,0,0
2,Other Fund,7,Enterprise Funds,French Market Corporation,French Market,http://www.nola.gov/boards/french-market-corporation/,"The French Market Corporation oversees and operates the French Market properties, including the Flea Market and Farmers Market. ",Independent Board,4170682,5330000,"$6,143,748","$6,143,748",6766870,"$7,420,182","$8,100,000","$8,481,110","$11,408,166","$11,423,057","$11,552,724","$11,080,914",1404832,1636114,2031511,1865482,2025196,2415117,"2,210,074","$2,909,100","$3,285,867"
2,Other Fund,7,Enterprise Funds,Upper Pontalba Building Restoration Corporation,Upper Pontalba,http://upperpontalba.org/public-benefit-corporation/,Local government corporation organized for the purpose of renovating and operating the Upper Pontalba Building.,Independent Board,1243617,1394818,"$1,685,108","$1,685,108",1767795,"$1,863,897","$1,866,342","$2,043,888",0,0,0,0,0,0,0,0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,Municipal Yacht Harbor Management Corporation,Yacht Harbor,http://www.nola.gov/boards/municipal-yacht-harbor-management-corporation/,The Municipal Yacht Harbor Management Corporation administers and manages the Municipal Yacht Harbor properties in the City of New Orleans. ,Independent Board,632033,645326,"$583,098","$583,098",673757,"$602,972","$2,052,500","$2,375,300","$2,316,700","$2,482,000","$2,502,100","$2,712,300",171692,151835,409523,2768286,165420,294887,"298,681","$304,016","$309,582"
2,Other Fund,7,Enterprise Funds,Orleans Parish Communication District,Communication District,http://www.nola.gov/boards/orleans-parish-communication-district/,"The Orleans Parish Communication District (OPCD) is the administrative office of 9-1-1 for the City of New Orleans. OPCD purchases and maintains equipment and provides training for new and experienced police, fire and emergency medical personnel.",Independent Board,4296180,5001262,"$5,068,000","$5,068,000",5068000,"$5,068,000","$6,838,975","$4,873,451","$5,487,648","$6,002,008","$15,647,080","$16,431,113",0,0,0,0,0,0,0,$0,0
2,Other Fund,7,Enterprise Funds,New Orleans Building Corporation Foundation,N.O. Building Corp.,http://www.nola.gov/boards/new-orleans-building-corporation/,"The purpose of the New Orleans Building Corporation is to own, lease, develop and operate properties owned by the City of New Orleans or by the Corporation. ",Independent Board,910000,25653000,"$27,967,123","$27,967,123",27641623,"$27,641,623","$19,171,469","$4,967,106","$6,162,420","$4,227,490","$3,118,227","$20,694,032",0,0,0,0,0,0,0,0,0
2,Other Fund,7,Enterprise Funds,Rivergate Development Corporation,Rivergate,,"The Rivergate Development Corporation (RDC) is a city-operated, non-profit, public benefit corporation founded in 1993 for the purpose of providing for the improvement and commercial development of the Rivergate Convention Center property.",Independent Board,16225000,13000000,"$20,353,794","$20,353,794",18908023,"$18,914,439","$17,280,852",0,0,0,0,0,12947976,14163509,14344307,21021159,13164164,12983014,"13,062,190",0,0
2,Other Fund,7,Enterprise Funds,Canal Street Development Corporation,Canal St. Development,http://www.nola.gov/boards/canal-street-development-corporation/, The Canal Street Development Corporation stimulates business development in the Central Business District and the adaptive reuse and development of Canal Street for commercial purposes. ,Independent Board,1326682,990339,"$967,744","$967,744",993823,"$1,000,144","$180,698","$19,998,773","$16,428,600","$16,076,566","$16,689,824",$0,172256,180265,204820,148371,179643,174792,"296,052","$13,422,520","$13,946,876"
2,Other Fund,7,Enterprise Funds,Piazza d'Italia Development Corporation,Piazza D'Italia,,"The Piazza d'Italia Development Corporation (PDDC) is a city-operated, non-profit, public benefit corporation founded in 1990 for the purpose of providing for the maintenance, improvement, and commercial development of the Piazza d'Italia in accordance with its architectural and cultural integrity.",Independent Board,445000,450000,"$475,000","$475,000",563447,"$563,447","$800,400",0,0,0,0,0,13442,24432,18699,2932,0,0,0,$0,0
2,Other Fund,1,Open and Effective Government,Mayor's Office,Federal and State Grants,http://nola.gov/mayor/,"The Mayor's Office sometimes receives federal or state grants, such as the Rockafeller Resilient Cities grant, that work towards open and effective government.",Mayor,0,0,0,0,256775,1241220,2126501,"1,512,464","807,358","326,815","610,216",0,0,0,266366,244669,113520,1630905,168552,50443,109885
2,Other Fund,2,Public Safety ,Mayor's Office,Criminal Justice Coordination/Homeland Security,http://nolaforlife.org/home/,The federal government provides significant funding for homeland security and emergency preparedness. Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,Mayor,16986125,16690707,76465091,88459395,18924191,0,62149009,85204326,68311137,55252107,"67,479,096","79,411,442",0,1813820,4172068,5520459,8811541,7473955,9491771,3178934,5999926
2,Other Fund,3,Economic Development ,Mayor's Office,Office of Cultural Economy/Office of Economic Development,http://www.nola.gov/cultural-economy/,"Federal and state dollars help pay for tourism incentives, film tax credits, and job training.",Mayor,6396159,7261318,8802003,8582378,7992307,9083137,8957105,"9,063,967","11,207,852","14,924,396","24,061,623","1,651,379",0,131594,11158,0,17476,656859,813733,1915740,1444240
2,Other Fund,4,Sustainable Communities ,Mayor's Office,Community Development,http://www.nola.gov/community-development/,The Office of Community Development receives federal grants (CDBG) and HUD funding to provide affordable housing to New Orleanians.,Mayor,254238,75004786,311350890,1082652600,77085953,15682149,71299650,"37,552,903","26,692,531","11,754,026","18,321,430","28,470,507",0,12633471,15076423,19015708,4293671,16286038,14486992,11389123,13288831
2,Other Fund,5,Children and Families ,Mayor's Office,Ryan White/HIV/AIDS Funding,nola.gov/mayor,Some federal money was once available to provide assistance to those living with HIV/AIDS under the Ryan White Fund.,Mayor,10550747,13127432,12663725,13034016,12110770,12216246,0,0,0,"2,022,669","561,366",0,0,9020016,8572749,0,8131504,927802,0,1892643,519168
2,Other Fund,1,Open and Effective Government,Miscellaneous Programs,Service and Innovation/Office of Performance Accountability,http://www.nola.gov/performance-and-accountability/,"Funding for the Service and Innovation and Performance and Accountability Offices are provided mostly through General Funds. Previously, Intergovernmental funds had been accounted for here to create internal efficencies. ",CAO,100000000,100000000,100000000,75000000,60693712,0,0,0,0,0,0,160976,0,0,0,0,0,0,0,0,0
2,Other Fund,2,Public Safety ,Miscellaneous Programs,NOPD Consent Decree,http://www.opdla.org,Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,CAO,0,0,0,0,0,0,0,0,7875000,9945035,8930257,16007939,0,0,0,0,0,0,0,3633247,8930257
2,Other Fund,3,Economic Development ,Miscellaneous Programs,Workforce Development Act,http://www.nola.gov/economic-development/workforce-development/nola-youthworks/,"Formerly called JOB1, some federal money was available to help low income job seekers gain workforce skills.",CAO,17045602,20986165,"18,637,208","17,502,039",13951394,0,0,0,0,400000,3959816,11565981,0,7701134,9260957,0,0,0,3720391,3914070,3959816
2,Other Fund,4,Sustainable Communities ,Miscellaneous Programs,HUD/CBDG,nordc.org,CDBG and HUD funds available to NORDC are accounted for here.,CAO,71819092,101359479,"80,563,621",65571099,74812833,2113691,23982832,3054938,3355585,"2,398,286",56629926,84540828,0,40550770,31474711,0,1515238,1823378,25195391,20140353,24189851
2,Other Fund,5,Children and Families ,Miscellaneous Programs,NORDC,http://nordc.org,Funding for the New Orleans Recreational Development Corporation from state and federal sources.,CAO,0,0,0,0,0,0,0,1311486,1311725,0,7311071,0,0,0,0,0,0,10507,2479004,3203030,10681044
